U0(mV)	U90(mV)	I(mA)	errorU0(%)	errorU90(%)	TxV(V)		
25.02.2022	16:58:17				
0					
13.42					
5.02588	0.01165	0.01	0	5	0
5.71463	0.02086	0.01	0	3	0
5.01444	0.01306	0.01	0	14	0
3.70998	0.00509	0.01	0	48	0
5.78194	0.00657	0.01	0	4	0
5.42158	0.00512	0.01	0	8	0
4.98157	0.0076	0.01	0	29	0
4.87853	0.01612	0.01	0	3	0
2.56511	-0.00325	0.01	0	18	0
2.59441	-0.00195	0.01	0	90	0
3.13513	-0.00642	0.01	0	3	0
2.8369	-0.00864	0.01	0	19	0
3.37865	-0.0018	0.01	0	16	0
3.10036	-0.00201	0.01	0	51	0
3.72756	-0.00038	0.01	0	65	0
1.89033	-0.00997	0.01	0	8	0
1.91054	-0.01101	0.01	0	11	0
2.76952	-0.00724	0.01	0	32	0
2.79723	-0.00536	0.01	0	23	0
1.65389	-0.00648	0.01	0	12	0
2.32596	-0.00619	0.01	0	9	0
1.61506	-0.0155	0.01	0.2	21	0
1.5175	-0.01257	0.01	0	0	0
1.59336	-0.01389	0.01	0.6	48	0
1.49824	-0.0071	0.01	0	7	0
1.61991	-0.00657	0.01	0.2	20	0
5.10386	0.01349	0.01	0	27	0
4.59527	0.00446	0.01	0	4	0
4.43602	0.00636	0.01	0	12	0
5.51917	-0.0036	0.01	0.6	35	0
4.83392	0.00694	0.01	0	7	0
5.57256	0.00966	0.01	0	0	0
5.60334	0.01182	0.01	0	1	0
4.94732	0.01173	0.01	0	6	0
2.80868	-0.00541	0.01	0	21	0
2.69458	-0.00307	0.01	0	31	0
3.01417	-0.00304	0.01	0	4	0
2.98914	-0.00723	0.01	0	3	0
3.60108	-0.00461	0.01	0	14	0
3.16392	-0.00567	0.01	0	9	0
3.11277	-0.00128	0.01	0	59	0
1.96303	-0.00611	0.01	0	3	0
2.27254	-0.00755	0.01	0	1	0
2.25901	-0.01026	0.01	0	4	0
2.72906	-0.00723	0.01	0	6	0
1.87985	-0.01171	0.01	0	16	0
2.04205	-0.00826	0.01	0	22	0
2.63249	-0.00133	0.01	0	110	0
1.59036	-0.00919	0.01	0	5	0
2.04358	-0.00894	0.01	0	10	0
2.4283	-0.0072	0.01	0	8	0
1.52852	-0.01094	0.01	0.1	15	0
1.93118	-0.0058	0.01	0	7	0
1.57138	-0.0067	0.01	0	9	0
4.60325	0.01052	0.01	0	39	0
5.14143	0.01055	0.01	0	2	0
5.91509	0.01404	0.01	0	1	0
3.91646	-0.00195	0.01	0	48	0
5.88331	0.01098	0.01	0	6	0
4.83719	0.00641	0.01	0	7	0
4.28436	0.00856	0.01	0	33	0
2.71377	-0.00746	0.01	0	5	0
2.83691	-0.00431	0.01	0	49	0
2.87789	-0.00421	0.01	0	15	0
3.17976	-0.00424	0.01	0	28	0
3.58437	-0.00048	0.01	0	45	0
3.92357	0.00458	0.01	0	60	0
1.93896	-0.01137	0.01	0	2	0
2.35818	-0.0075	0.01	0	21	0
2.8667	-0.00373	0.01	0	30	0
2.65737	-0.00238	0.01	0	71	0
1.85456	-0.0075	0.01	0	3	0
2.50772	-0.00389	0.01	0	48	0
1.77312	-0.01288	0.01	0	3	0
1.66185	-0.01345	0.01	0	11	0
1.73213	-0.00784	0.01	0	11	0
1.69059	-0.00611	0.01	0	5	0
2.38722	-0.00606	0.01	0.1	35	0
2.01584	-0.01241	0.01	0	3	0
2.28469	-0.01141	0.01	0	7	0
2.89407	-0.00159	0.01	0	2	0
2.97435	-0.00158	0.01	0	6	0
1.63519	-0.0102	0.01	0	13	0
1.83305	-0.01195	0.01	0	4	0
1.62623	-0.01144	0.01	0	6	0
1.74539	-0.01045	0.01	0	12	0
1.82537	-0.0061	0.01	0	4	0
1.8872	-0.00838	0.01	0	21	0
2.15993	-0.00758	0.01	0	13	0
2.55455	-0.00874	0.01	0	10	0
1.64861	-0.01051	0.01	0	10	0
1.92221	-0.00787	0.01	0	4	0
2.27115	-0.00259	0.01	0	14	0
2.26558	-0.00411	0.01	0	12	0
2.03799	-0.00433	0.01	0	3	0
2.15662	-0.00744	0.01	0	30	0
1.94502	-0.00821	0.01	0	8	0
2.51421	-0.00322	0.01	0	18	0
1.75662	-0.00523	0.01	0	6	0
1.74718	-0.00559	0.01	0	1	0
25.02.2022	18:00:14				
0					
13.3					
5.00492	0.01109	0.01	0	15	0
5.70153	0.01754	0.01	0	1	0
5.01902	0.01481	0.01	0	11	0
3.69382	-0.00062	0.01	0	251	0
5.79858	0.00731	0.01	0	1	0
5.42041	0.00427	0.01	0	26	0
4.99111	0.00558	0.01	0	43	0
4.88662	0.01361	0.01	0	2	0
2.56208	-0.00474	0.01	0	2	0
2.59674	-0.00433	0.01	0	54	0
3.13394	-0.00886	0.01	0	3	0
2.83217	-0.01075	0.01	0	17	0
3.38132	-0.00328	0.01	0	48	0
3.09992	-0.00381	0.01	0	13	0
3.73043	0.00016	0.01	0	43	0
1.89559	-0.0085	0.01	0	22	0
1.91045	-0.01356	0.01	0	0	0
2.77165	-0.00905	0.01	0	8	0
2.79623	-0.00588	0.01	0	1	0
1.65259	-0.00786	0.01	0	1	0
2.32405	-0.00759	0.01	0	2	0
1.6094	-0.01367	0.01	0	7	0
1.51475	-0.01498	0.01	0	1	0
1.58455	-0.00897	0.01	0	9	0
1.49613	-0.00793	0.01	0	6	0
1.6207	-0.00843	0.01	0	5	0
5.06971	0.01042	0.01	0	5	0
4.59611	0.00349	0.01	0	26	0
4.42597	-0.00058	0.01	0	103	0
5.498	0.01208	0.01	0	9	0
4.82777	0.00478	0.01	0	10	0
5.61382	0.00731	0.01	0	90	0
5.60713	0.00708	0.01	0	8	0
4.95602	0.01129	0.01	0	5	0
2.81863	-0.00944	0.01	0	44	0
2.69052	-0.00247	0.01	0	39	0
3.01497	-0.00366	0.01	0	27	0
2.99634	-0.00557	0.01	0	33	0
3.59573	-0.00606	0.01	0	1	0
3.16179	-0.00544	0.01	0	0	0
3.11623	-0.00393	0.01	0	10	0
1.96364	-0.00727	0.01	0	3	0
2.27028	-0.0062	0.01	0	7	0
2.26741	-0.00824	0.01	0	15	0
2.72769	-0.00867	0.01	0	13	0
1.87742	-0.01119	0.01	0	11	0
2.04481	-0.00897	0.01	0	1	0
2.63456	-0.00228	0.01	0	13	0
1.58172	-0.00819	0.01	0.5	14	0
2.04446	-0.01011	0.01	0	1	0
2.42543	-0.00847	0.01	0.1	31	0
1.52635	-0.01321	0.01	0	12	0
1.93288	-0.00805	0.01	0	22	0
1.57173	-0.00811	0.01	0	13	0
4.59811	0.0076	0.01	0	53	0
5.13354	0.01087	0.01	0	2	0
5.92418	0.01366	0.01	0	6	0
3.89304	-0.00368	0.01	0	61	0
5.87974	0.00901	0.01	0	7	0
4.83368	0.00484	0.01	0	16	0
4.29102	0.00702	0.01	0	50	0
2.71393	-0.00834	0.01	0	7	0
2.8337	-0.00658	0.01	0	11	0
2.87819	-0.00487	0.01	0	15	0
3.18413	-0.00249	0.01	0	14	0
3.58502	-0.0013	0.01	0	82	0
3.92574	0.00328	0.01	0	48	0
1.93654	-0.01223	0.01	0	9	0
2.36164	-0.00702	0.01	0	7	0
2.86469	-0.00368	0.01	0	6	0
2.65178	-0.00359	0.01	0	5	0
1.86344	-0.00908	0.01	0	14	0
2.50046	-0.00876	0.01	0	5	0
1.7744	-0.0138	0.01	0	6	0
1.66159	-0.01092	0.01	0	10	0
1.7295	-0.00817	0.01	0	7	0
1.68851	-0.00846	0.01	0	9	0
2.3955	-0.00477	0.01	0	4	0
2.01428	-0.01366	0.01	0	1	0
2.28598	-0.01206	0.01	0	19	0
2.89224	-0.0042	0.01	0	0	0
2.97725	-0.00355	0.01	0	18	0
1.62824	-0.01063	0.01	0	14	0
1.83147	-0.01338	0.01	0	5	0
1.62463	-0.01322	0.01	0.1	7	0
1.74402	-0.0158	0.01	0	1	0
1.82458	-0.00915	0.01	0	10	0
1.88417	-0.01407	0.01	0.1	33	0
2.16072	-0.00732	0.01	0	12	0
2.55433	-0.00755	0.01	0	24	0
1.64863	-0.01241	0.01	0	2	0
1.9313	-0.01405	0.01	0.3	34	0
2.27552	-0.00404	0.01	0	20	0
2.26739	-0.00364	0.01	0	52	0
2.04126	-0.0069	0.01	0	15	0
2.16021	-0.00027	0.01	0	219	0
1.94409	-0.00934	0.01	0	9	0
2.51648	-0.00375	0.01	0	7	0
1.75688	-0.0061	0.01	0	2	0
1.74642	-0.00531	0.01	0	36	0
26.02.2022	00:00:17				
0					
12.82					
4.98553	0.00672	0.01	0	5	0
5.65562	0.01321	0.01	0	23	0
5.07736	0.01131	0.01	0	12	0
3.62135	-0.00353	0.01	0	68	0
5.81954	0.0036	0.01	0	6	0
5.4579	0.0008	0.01	0	102	0
5.05862	0.00135	0.01	0	206	0
4.93755	0.0115	0.01	0	6	0
2.55505	-0.00731	0.01	0	26	0
2.58436	-0.01233	0.01	0	6	0
3.14246	-0.01009	0.01	0	3	0
2.81171	-0.011	0.01	0	17	0
3.39207	-0.00646	0.01	0	13	0
3.1016	-0.00834	0.01	0	1	0
3.75489	-0.00476	0.01	0	18	0
1.88623	-0.01699	0.01	0	3	0
1.91452	-0.01689	0.01	0	6	0
2.78519	-0.00877	0.01	0	1	0
2.80415	-0.00755	0.01	0	18	0
1.65125	-0.01274	0.01	0	2	0
2.32936	-0.01139	0.01	0	6	0
1.60701	-0.0194	0.01	0	0	0
1.51874	-0.01881	0.01	0	9	0
1.5828	-0.01313	0.01	0	5	0
1.49595	-0.01181	0.01	0	2	0
1.62595	-0.01305	0.01	0	2	0
5.0044	0.0066	0.01	0	2	0
4.61937	0.00158	0.01	0	10	0
4.37942	-0.00657	0.01	0	73	0
5.56588	0.00971	0.01	0	16	0
4.85295	0.00325	0.01	0	9	0
5.65785	0.00297	0.01	0	196	0
5.6513	0.00371	0.01	0	14	0
5.02043	0.0096	0.01	0	4	0
2.81704	-0.00832	0.01	0	14	0
2.6866	-0.00655	0.01	0	13	0
3.02728	-0.00758	0.01	0	11	0
2.99765	-0.00719	0.01	0	41	0
3.59631	-0.00864	0.01	0	8	0
3.17132	-0.00893	0.01	0	6	0
3.13301	-0.00618	0.01	0	23	0
1.96749	-0.01029	0.01	0	0	0
2.26611	-0.012	0.01	0	3	0
2.25863	-0.01489	0.01	0	1	0
