Timestamp (LST=UTC-4), WS(m/s), WDv(deg), WDv(deg) simp, WDv(deg) des, Ta(C), RH(%), Prs(hPa), Prcp(mm), Prcp(mm), Snow(cm),Snow (mm), Rsw(W/m2)
2022-01-01,9.5,104.6,90,E,0.4,91.8,980.1,2.1,-2.1,0,0,95.7
2022-01-02,9.6,107.7,90,E,1.3,89.2,976,5.8,-5.8,0,0,146.6
2022-01-03,10.9,128.2,135,SE,0.7,92.8,969.2,12.5,-12.5,8,80,54
2022-01-04,2.4,126,135,SE,2.2,78.5,980.1,2.7,-2.7,0,0,234.2
2022-01-05,1.4,4.3,0,N,2,83.6,989.6,0.1,-0.1,0,0,179
2022-01-06,3.3,10,0,N,2,73.5,997.8,0,0,0,0,187.8
2022-01-07,5.4,325.7,315,NO,1.8,88,992.1,1.8,-1.8,0,0,109.2
2022-01-08,3.5,150.6,135,SE,2.8,91.8,985.1,2.3,-2.3,0,0,131.1
2022-01-09,5.9,308.5,315,NO,1.4,92.5,984.4,0.2,-0.2,0,0,101.7
2022-01-10,8.6,33.7,45,NE,2.4,83.7,965.7,1.9,-1.9,0,0,102.3
2022-01-11,7.5,136.2,135,SE,0.9,93.9,968.7,3.1,-3.1,0,0,109.3
2022-01-12,2.7,241.6,225,SO,1.1,94,983.3,0.4,-0.4,0,0,103.7
2022-01-13,3.6,347.9,0,N,1.8,87.3,988.8,1.1,-1.1,0,0,204.9
2022-01-14,4.5,34.3,45,NE,1.4,86.7,993.3,1.1,-1.1,0,0,129.6
2022-01-15,3.3,105.3,90,E,1.5,70.6,1002.8,0,0,0,0,275.1
2022-01-16,3.5,340.3,0,N,1.1,79.3,1003.4,1,-1,0,0,227.6
2022-01-17,5.2,288.4,270,O,2.1,77.2,996,0,0,0,0,280.3
2022-01-18,11.7,226.1,225,SO,2.3,73.8,988.1,0,0,0,0,234.5
2022-01-19,7,274,270,O,2,84.4,997.2,0,0,0,0,92.5
2022-01-20,8.2,307.1,315,NO,2.3,95.5,992.4,2.2,-2.2,0,0,79.4
2022-01-21,8.3,318.9,315,NO,2.9,93.6,990.5,0,0,0,0,148.2
2022-01-22,8.4,329,315,NO,4.1,87.1,988.1,1.6,-1.6,0,0,148.8
2022-01-23,5.4,342.4,0,N,3.5,86.6,989.9,0,0,0,0,227.4
2022-01-24,3.2,131.7,135,SE,2.7,90.2,983.1,17.8,-17.8,0,0,70.6
2022-01-25,4.6,158.6,180,S,2.2,92.4,987.4,2.6,-2.6,0,0,117.8
2022-01-26,7,275.6,270,O,2.1,84.3,990.6,0.9,-0.9,0,0,178.7
2022-01-27,6.4,222.4,225,SO,2.5,84.8,988,0.2,-0.2,0,0,146.5
2022-01-28,3.4,296.7,315,NO,2.5,79.4,1000.1,0,0,0,0,211.5
2022-01-29,3.3,343.4,0,N,2.2,80.1,1001.1,1.3,-1.3,0,0,141.6
2022-01-30,7.2,11.9,0,N,4.7,86.4,992.8,6.3,-6.3,0,0,65.5
2022-01-31,1.8,146.9,135,SE,1.2,95.3,975,11.9,-11.9,0,0,66.3
2022-02-01,5.5,293.5,315,NO,1.2,94.1,958.4,8.4,-8.4,0,0,89.5
2022-02-02,9.3,262.8,270,O,1.6,83.6,970.2,0,0,0,0,143.5
2022-02-03,11.5,230,225,SO,1.5,74.8,982.6,0,0,0,0,129
2022-02-04,6.9,255.6,270,O,3,82.9,994.5,0,0,0,0,267
2022-02-05,7.4,344.3,0,N,2.7,94.8,994.8,1.7,-1.7,0,0,81.3
2022-02-06,5.3,244.8,225,SO,2.2,92.4,996.4,1.8,-1.8,0,0,83.6
2022-02-07,11.4,360,0,N,7.4,81.6,1003.2,0.3,-0.3,0,0,116.8
2022-02-08,13.6,4.9,0,N,6.3,80.9,992.9,0,0,0,0,207.9
2022-02-09,5.6,344.6,0,N,3.7,87.3,1003,0,0,0,0,180.2
2022-02-10,1.7,273.2,270,O,1.3,94.7,1001.1,0.1,-0.1,0,0,114.8
2022-02-11,5,327,315,NO,1.4,94.9,988.4,0.7,-0.7,0,0,75.4
2022-02-12,6.4,193.4,180,S,2.4,83.4,970.3,0,0,0,0,78.7
